Feature,Current Type,Issue Summary,Candidate Solutions,Final Decision,Decision Rationale,Final Feature Type,Implementation Note,Validation Check
Date of Sale (dd/mm/yyyy),datetime64[us],No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],datetime,[TO_BE_FILLED],[TO_BE_FILLED]
Address,str,High-cardinality text/location feature,"Extract compact location signal (e.g., zone), then drop raw high-cardinality field",[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED]
County,category,No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
Eircode,str,"High missing values (68.7%)
High-cardinality text/location feature","Assess business relevance; drop feature if non-critical, otherwise apply rule-based imputation
Extract compact location signal (e.g., zone), then drop raw high-cardinality field",[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED]
Price (€),float64,Potential skewness and high-end outliers,Use log1p(Price) for modeling; apply percentile capping only when justified,[TO_BE_FILLED],[TO_BE_FILLED],continuous,[TO_BE_FILLED],[TO_BE_FILLED]
Not Full Market Price,category,No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
VAT Exclusive,category,"Only for Description of Property == 'New Dwelling house /Apartment', VAT Exclusive=Yes implies +13.5% VAT adjustment","For New Dwelling house /Apartment with VAT Exclusive=Yes, create VAT-adjusted feature: Price * 1.135",[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
Description of Property,category,No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
Property Size Description,category,High missing values (94.7%),"Assess business relevance; drop feature if non-critical, otherwise apply rule-based imputation",[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED],[TO_BE_FILLED]
Sale Year,category,No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
Sale Month,category,No major issue detected,Retain feature without transformation,[TO_BE_FILLED],[TO_BE_FILLED],categorical,[TO_BE_FILLED],[TO_BE_FILLED]
