Date of Sale (dd/mm/yyyy),County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,eircode_missing,eircode_prefix,Price_Clamped,vat_adjusted_flag,Price_Adjusted_VAT
2016-09-30,Cork,Unknown,181000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Unknown,1,donnybrook,0,1,UNK,181000.0,0,181000.0
2016-12-20,Cork,Unknown,50152.49,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,12,0,1,Unknown,1,convent rd,0,1,UNK,60000.0,1,56923.07615
2016-09-28,Wexford,Unknown,62171.81,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,1,1,Unknown,1,clonattin,0,1,UNK,62171.81,1,70565.00435
2016-09-16,Wicklow,Unknown,223348.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,0,1,Unknown,1,wicklow hills,0,1,UNK,223348.0,1,253499.98
2016-01-29,Dublin,Unknown,310000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,frascati park,0,1,UNK,310000.0,0,310000.0
2016-10-03,Kildare,Unknown,515000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,0,Unknown,1,kilwogan,0,1,UNK,515000.0,0,515000.0
2016-05-13,Dublin,Unknown,220000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Dublin 15,0,ongar,0,1,UNK,220000.0,0,220000.0
2016-01-21,Dublin,Unknown,110000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,applewood,0,1,UNK,110000.0,0,110000.0
2016-03-03,Wicklow,Unknown,390000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,0,Unknown,1,avoca,0,1,UNK,390000.0,0,390000.0
2016-09-12,Dublin,Unknown,435000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Dublin 3,0,fairview,0,1,UNK,435000.0,0,435000.0
2016-02-18,Cork,Unknown,110000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,sweetfield,0,1,UNK,110000.0,0,110000.0
2016-09-14,Dublin,Unknown,260000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Unknown,1,malahide,0,1,UNK,260000.0,0,260000.0
2016-04-08,Clare,Unknown,282500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,oakleigh wood,0,1,UNK,282500.0,0,282500.0
2016-10-25,Dublin,Unknown,390000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,0,Unknown,1,oldtown,0,1,UNK,390000.0,0,390000.0
2016-02-12,Dublin,Unknown,220500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Dublin 16,0,stocking ave,0,1,UNK,220500.0,0,220500.0
2016-03-24,Waterford,Unknown,50000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,james st,0,1,UNK,60000.0,0,50000.0
2016-11-30,Dublin,Unknown,170000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,north st,0,1,UNK,170000.0,0,170000.0
2016-04-15,Wicklow,Unknown,600000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,bray,0,1,UNK,600000.0,0,600000.0
2016-10-27,Dublin,Unknown,357000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Dublin 13,0,donaghmede,0,1,UNK,357000.0,0,357000.0
2016-09-23,Dublin,Unknown,250500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,1,1,Dublin 9,0,apt 3 old ballymun rd,0,1,UNK,250500.0,0,250500.0
2016-02-05,Donegal,Unknown,92500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,0,Unknown,1,listminton,0,1,UNK,92500.0,0,92500.0
2016-07-22,Kilkenny,Unknown,130500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,clashacollaire,0,1,UNK,130500.0,0,130500.0
2016-05-27,Dublin,Unknown,259912.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,0,1,Unknown,1,5 fforster terrace,0,1,UNK,259912.0,1,295000.12
2016-06-22,Dublin,Unknown,259911.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,0,1,Unknown,1,bracken park,0,1,UNK,259911.89,1,294999.99515000003
2016-02-04,Waterford,Unknown,30000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,1,1,Unknown,1,2 baileys new st,0,1,UNK,60000.0,0,30000.0
2016-06-01,Kerry,Unknown,66000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,0,0,Unknown,1,cliff road,0,1,UNK,66000.0,1,74910.0
2016-12-19,Waterford,Unknown,310000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,ballinaneeshagh,0,1,UNK,310000.0,0,310000.0
2016-03-04,Cavan,Unknown,14250.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,1,1,Unknown,1,towns park,0,1,UNK,60000.0,0,14250.0
2016-02-26,Tipperary,Unknown,300000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,thurles,0,1,UNK,300000.0,0,300000.0
2016-06-10,Dublin,Unknown,339977.83,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,6,0,1,Dublin 16,0,knocklyonne,0,1,UNK,339977.83,1,385874.83705000003
2016-11-16,Galway,Unknown,115000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,athenry,0,1,UNK,115000.0,0,115000.0
2016-06-03,Cork,Unknown,125000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,model farm rd,0,1,UNK,125000.0,0,125000.0
2016-07-12,Offaly,Unknown,112000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,birr,0,1,UNK,112000.0,0,112000.0
2016-08-18,Clare,Unknown,227000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,0,Unknown,1,wood rd clonlara,0,1,UNK,227000.0,0,227000.0
2016-08-12,Clare,Unknown,155000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,limerick rd,0,1,UNK,155000.0,0,155000.0
2016-06-02,Kerry,Unknown,137000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,ballymacelligott,0,1,UNK,137000.0,0,137000.0
2016-07-20,Limerick,Unknown,260000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Unknown,1,ocallaghan strand,0,1,UNK,260000.0,0,260000.0
2016-04-05,Roscommon,Unknown,118000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,roscommon,0,1,UNK,118000.0,0,118000.0
2016-11-01,Waterford,Unknown,196000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,tramore,0,1,UNK,196000.0,0,196000.0
2016-05-12,Galway,Unknown,300000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,merlin park,0,1,UNK,300000.0,0,300000.0
2016-01-11,Galway,Unknown,125000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,oranmore,0,1,UNK,125000.0,0,125000.0
2016-12-15,Dublin,Unknown,170000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Dublin 15,0,clonee,0,1,UNK,170000.0,0,170000.0
2016-08-29,Sligo,Unknown,132000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,caltragh,0,1,UNK,132000.0,0,132000.0
2016-03-21,Mayo,Unknown,67841.4,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,3,0,1,Unknown,1,19 abbey court,0,1,UNK,67841.4,1,76999.98899999999
2016-10-28,Cork,Unknown,455000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,innishannon,0,1,UNK,455000.0,0,455000.0
2016-04-08,Laois,Unknown,135000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,0,Unknown,1,portarlington,0,1,UNK,135000.0,0,135000.0
2016-11-01,Galway,Unknown,116775.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11,0,1,Unknown,1,59 carrigweir,0,1,UNK,116775.0,1,132539.625
2016-09-15,Kildare,Unknown,528634.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9,0,1,Unknown,1,celbridge road,0,1,UNK,528634.0,1,599999.59
2016-01-25,Cork,Unknown,46000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,1,0,0,Unknown,1,broomfield,0,1,UNK,60000.0,1,52210.0
2016-10-28,Meath,Unknown,151500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,dunboyne castel,0,1,UNK,151500.0,0,151500.0
2016-04-27,Dublin,Unknown,275000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,ranelagh,0,1,UNK,275000.0,0,275000.0
2016-02-19,Laois,Unknown,158500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,graiguecullen,0,1,UNK,158500.0,0,158500.0
2016-10-26,Cork,Unknown,175000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,mallow,0,1,UNK,175000.0,0,175000.0
2016-07-18,Dublin,Unknown,249000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Dublin 8,0,dublin 8,0,1,UNK,249000.0,0,249000.0
2016-07-22,Kilkenny,Unknown,375000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Unknown,1,upper patrick st,0,1,UNK,375000.0,0,375000.0
2016-12-21,Dublin,Unknown,273127.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,0,1,Unknown,1,mount saint annes,0,1,UNK,273127.75,1,309999.99625
