feature,coefficient
location_Dublin Other,311387.78952138685
location_Dublin 6,259133.51288816094
location_Dublin 14,232894.00812474434
location_Dublin 6W,224225.4803009776
location_Dublin 4,220761.45566409887
location_Dublin 27,211233.10269140557
location_Dublin 18,182606.0443134361
location_Dublin 16,176950.02311306293
location_Dublin 2,148615.8114819331
location_Dublin 3,116824.06711435935
location_Dublin 9,96942.2171316246
location_Dublin 13,94859.9256439911
location_Dublin 5,92130.7160680835
vat_adjusted_flag,81777.05580964209
location_Dublin 7,70112.41895964762
location_Dublin 8,67343.04294793324
location_Dublin 12,50509.75466350974
location_Dublin 1,50231.49138217044
Not Full Market Price_No,47987.87917634708
location_Wicklow,44270.82469983061
location_Dublin 15,43493.72008018526
location_Dublin 26,37969.42349421812
location_Dublin 25,34790.56137850719
location_Dublin 20,19075.299276061472
Sale Year,15899.976837273394
location_Dublin 17,13493.290469433254
Description of Property_Second-Hand Dwelling house /Apartment,4741.265393848109
Sale Month,2205.1758793680856
Description of Property_New Dwelling house /Apartment,560.7539461261767
Description of Property_Teach/Árasán Cónaithe Atháimhe,-5302.0193399743
location_Kildare,-9486.154408276198
location_Dublin 11,-11256.908462550811
location_Dublin 24,-11304.143135966267
location_Dublin 22,-31647.808442575377
location_Meath,-40873.61701858521
Not Full Market Price_Yes,-47987.87917634705
location_Cork,-48760.92748458473
location_Galway,-57972.301394471
location_Dublin 10,-61263.87744395746
location_Kilkenny,-72853.6418908766
is_apartment,-80532.35210494968
location_Louth,-90748.39495796063
location_Limerick,-96328.97858999998
location_Waterford,-100059.43075860175
location_Westmeath,-101544.48401256886
location_Kerry,-103302.4531381583
location_Wexford,-105448.78322902741
location_Clare,-116159.55261236842
location_Laois,-116472.39787108253
location_Carlow,-122676.44028973386
location_Offaly,-126118.09558381281
location_Tipperary,-129541.41413167123
location_Sligo,-140016.666537501
location_Monaghan,-142524.5316226263
location_Cavan,-146747.58940609478
location_Mayo,-155145.98028302673
location_Longford,-161213.652060856
location_Donegal,-162699.01040774863
location_Roscommon,-166590.7643402503
location_Leitrim,-171095.9818938278
