Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-09-30,2016,9,0,Cork,Second-Hand Dwelling house /Apartment,No,181000.0,0
2016-12-20,2016,12,0,Cork,New Dwelling house /Apartment,No,60000.0,1
2016-09-28,2016,9,1,Wexford,New Dwelling house /Apartment,No,70565.00435,1
2016-09-16,2016,9,0,Wicklow,New Dwelling house /Apartment,No,253499.98,1
2016-01-29,2016,1,0,Dublin 27,Second-Hand Dwelling house /Apartment,No,310000.0,0
2016-10-03,2016,10,0,Kildare,Second-Hand Dwelling house /Apartment,No,515000.0,0
2016-05-13,2016,5,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,220000.0,0
2016-01-21,2016,1,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,110000.0,0
2016-03-03,2016,3,0,Wicklow,Second-Hand Dwelling house /Apartment,No,390000.0,0
2016-09-12,2016,9,0,Dublin 3,Second-Hand Dwelling house /Apartment,No,435000.0,0
2016-02-18,2016,2,0,Cork,Second-Hand Dwelling house /Apartment,No,110000.0,0
2016-09-14,2016,9,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,260000.0,0
2016-04-08,2016,4,0,Clare,Second-Hand Dwelling house /Apartment,No,282500.0,0
2016-10-25,2016,10,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,390000.0,0
2016-02-12,2016,2,0,Dublin 16,Second-Hand Dwelling house /Apartment,No,220500.0,0
2016-03-24,2016,3,0,Waterford,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-11-30,2016,11,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,170000.0,0
2016-04-15,2016,4,0,Wicklow,Second-Hand Dwelling house /Apartment,No,600000.0,0
2016-10-27,2016,10,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,357000.0,0
2016-09-23,2016,9,1,Dublin 11,Second-Hand Dwelling house /Apartment,No,250500.0,0
2016-02-05,2016,2,0,Donegal,Second-Hand Dwelling house /Apartment,No,92500.0,0
2016-07-22,2016,7,0,Kilkenny,Second-Hand Dwelling house /Apartment,No,130500.0,0
2016-05-27,2016,5,0,Dublin 25,New Dwelling house /Apartment,No,295000.12,1
2016-06-22,2016,6,0,Dublin 15,New Dwelling house /Apartment,No,294999.99515000003,1
2016-02-04,2016,2,1,Waterford,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-06-01,2016,6,0,Kerry,New Dwelling house /Apartment,No,74910.0,1
2016-12-19,2016,12,0,Waterford,Second-Hand Dwelling house /Apartment,No,310000.0,0
2016-03-04,2016,3,1,Cavan,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-02-26,2016,2,0,Tipperary,Second-Hand Dwelling house /Apartment,No,300000.0,0
2016-06-10,2016,6,0,Dublin 16,New Dwelling house /Apartment,No,385874.83705000003,1
2016-11-16,2016,11,0,Galway,Second-Hand Dwelling house /Apartment,No,115000.0,0
2016-06-03,2016,6,0,Cork,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-07-12,2016,7,0,Offaly,Second-Hand Dwelling house /Apartment,No,112000.0,0
2016-08-18,2016,8,0,Clare,Second-Hand Dwelling house /Apartment,No,227000.0,0
2016-08-12,2016,8,0,Clare,Second-Hand Dwelling house /Apartment,No,155000.0,0
2016-06-02,2016,6,0,Kerry,Second-Hand Dwelling house /Apartment,No,137000.0,0
2016-07-20,2016,7,0,Limerick,Second-Hand Dwelling house /Apartment,No,260000.0,0
2016-04-05,2016,4,0,Roscommon,Second-Hand Dwelling house /Apartment,Yes,118000.0,0
2016-11-01,2016,11,0,Waterford,Second-Hand Dwelling house /Apartment,No,196000.0,0
2016-05-12,2016,5,0,Galway,Second-Hand Dwelling house /Apartment,No,300000.0,0
2016-01-11,2016,1,0,Galway,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-12-15,2016,12,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,170000.0,0
2016-08-29,2016,8,0,Sligo,Second-Hand Dwelling house /Apartment,No,132000.0,0
2016-03-21,2016,3,0,Mayo,New Dwelling house /Apartment,No,76999.98899999999,1
2016-10-28,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,455000.0,0
2016-04-08,2016,4,0,Laois,Second-Hand Dwelling house /Apartment,No,135000.0,0
2016-11-01,2016,11,0,Galway,New Dwelling house /Apartment,No,132539.625,1
2016-09-15,2016,9,0,Kildare,New Dwelling house /Apartment,No,599999.59,1
2016-01-25,2016,1,0,Cork,New Dwelling house /Apartment,No,60000.0,1
2016-10-28,2016,10,0,Meath,Second-Hand Dwelling house /Apartment,No,151500.0,0
2016-04-27,2016,4,0,Dublin 6,Second-Hand Dwelling house /Apartment,No,275000.0,0
2016-02-19,2016,2,0,Laois,Second-Hand Dwelling house /Apartment,No,158500.0,0
2016-10-26,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,175000.0,0
2016-07-18,2016,7,0,Dublin 8,Second-Hand Dwelling house /Apartment,No,249000.0,0
2016-07-22,2016,7,0,Kilkenny,Second-Hand Dwelling house /Apartment,No,375000.0,0
2016-12-21,2016,12,0,Dublin 2,New Dwelling house /Apartment,No,309999.99625,1
2016-11-28,2016,11,0,Cork,New Dwelling house /Apartment,No,249999.64,1
2016-12-20,2016,12,0,Dublin 12,Second-Hand Dwelling house /Apartment,No,365000.0,0
2016-06-03,2016,6,0,Dublin 6W,New Dwelling house /Apartment,No,677141.0,1
2016-07-15,2016,7,0,Donegal,Second-Hand Dwelling house /Apartment,No,90000.0,0
2016-08-02,2016,8,0,Westmeath,Second-Hand Dwelling house /Apartment,No,107000.0,0
2016-09-16,2016,9,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,425000.0,0
2016-12-13,2016,12,0,Cavan,Second-Hand Dwelling house /Apartment,No,69320.0,0
2016-12-09,2016,12,0,Cork,New Dwelling house /Apartment,No,177968.64695,1
2016-07-22,2016,7,0,Wexford,Second-Hand Dwelling house /Apartment,No,80000.0,0
2016-09-09,2016,9,0,Limerick,Second-Hand Dwelling house /Apartment,No,90000.0,0
2016-08-26,2016,8,1,Offaly,Second-Hand Dwelling house /Apartment,No,80000.0,0
2016-04-20,2016,4,0,Clare,New Dwelling house /Apartment,No,83999.08,1
2016-07-27,2016,7,0,Galway,Second-Hand Dwelling house /Apartment,No,277000.0,0
