Price (€),Not Full Market Price,VAT Exclusive,Description of Property,is_apartment,Sale Year,Sale Month,location,vat_adjusted_flag,Price_Log
181000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Cork,0,12.10625783509458
50152.49,No,Yes,New Dwelling house /Apartment,0,2016,12,Cork,1,11.002116507732017
62171.81,No,Yes,New Dwelling house /Apartment,1,2016,9,Wexford,1,11.164303782723508
223348.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Wicklow,1,12.443122967883614
310000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Dublin_27,0,12.644330802262578
515000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Kildare,0,13.151924121391561
220000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Dublin_15,0,12.301387370778713
110000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Dublin_26,0,11.608244735642321
390000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Wicklow,0,12.873904582205107
435000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_3,0,12.983103608918753
110000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Cork,0,11.608244735642321
260000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_26,0,12.468440756144114
282500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Clare,0,12.551437369385376
390000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Dublin_26,0,12.873904582205107
220500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Dublin_16,0,12.303657509006147
50000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Waterford,0,11.002116507732017
170000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_26,0,12.04355959836804
600000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Wicklow,0,13.304686600863562
357000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Dublin_13,0,12.785493861878301
250500.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,9,Dublin_11,0,12.431218191515056
92500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Donegal,0,11.434974734252892
130500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Kilkenny,0,11.779136168550774
259912.0,No,Yes,New Dwelling house /Apartment,0,2016,5,Dublin_25,1,12.59473443192492
259911.89,No,Yes,New Dwelling house /Apartment,0,2016,6,Dublin_15,1,12.594734008706098
30000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,2,Waterford,0,11.002116507732017
66000.0,No,Yes,New Dwelling house /Apartment,0,2016,6,Kerry,1,11.224056021205383
310000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Waterford,0,12.644330802262578
14250.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,3,Cavan,0,11.002116507732017
300000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Tipperary,0,12.611541086966115
339977.83,No,Yes,New Dwelling house /Apartment,0,2016,6,Dublin_16,1,12.863270931027893
115000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Galway,0,11.652696102959753
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Cork,0,11.736077016252437
112000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Offaly,0,11.626263078808801
227000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Clare,0,12.33270970174018
155000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Clare,0,11.951186847493476
137000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Kerry,0,11.827743504053695
260000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Limerick,0,12.468440756144114
118000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,4,Roscommon,0,11.678448377988165
196000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Waterford,0,12.185875040240456
300000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Galway,0,12.611541086966115
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Galway,0,11.736077016252437
170000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_15,0,12.04355959836804
132000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Sligo,0,11.790564777297387
67841.4,No,Yes,New Dwelling house /Apartment,0,2016,3,Mayo,1,11.25157354490918
455000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,13.02805489573287
135000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Laois,0,11.813037464800539
116775.0,No,Yes,New Dwelling house /Apartment,0,2016,11,Galway,1,11.794644481188667
528634.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Kildare,1,13.304685917531133
46000.0,No,Yes,New Dwelling house /Apartment,0,2016,1,Cork,1,11.002116507732017
151500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Meath,0,11.928347504569842
275000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_6,0,12.524530013005734
158500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Laois,0,11.973516181427835
175000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,12.07254696717504
249000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_8,0,12.425212191503038
375000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Kilkenny,0,12.834683971615659
273127.75,No,Yes,New Dwelling house /Apartment,0,2016,12,Dublin_2,1,12.644330790165842
220264.0,No,Yes,New Dwelling house /Apartment,0,2016,11,Cork,1,12.429218756841106
365000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_12,0,12.807655372286902
596600.0,No,Yes,New Dwelling house /Apartment,0,2016,6,Dublin_6W,1,13.42563627879236
90000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Donegal,0,11.407576060361786
107000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Westmeath,0,11.580593459194764
425000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_13,0,12.959846800844963
69320.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Cavan,0,11.146503169576617
156800.57,No,Yes,New Dwelling house /Apartment,0,2016,12,Cork,1,12.089368291980756
80000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Wexford,0,11.289794413577894
90000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Limerick,0,11.407576060361786
80000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,8,Offaly,0,11.289794413577894
74008.0,No,Yes,New Dwelling house /Apartment,0,2016,4,Clare,1,11.33857303020595
277000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Galway,0,12.531776395271262
340000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Cork,0,12.73670383776449
160000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Cork,0,11.982935344196433
55000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.002116507732017
160000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.982935344196433
102000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Laois,0,11.532737896139919
400000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_5,0,12.899222326086994
205000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Dublin_24,0,12.230770136157428
995000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_27,0,13.48858649213279
99500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Laois,0,11.507922973347437
120000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_13,0,11.695255355062795
250000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Dublin_22,0,12.429220196836383
150000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Cork,0,11.918397239722838
234427.31,No,Yes,New Dwelling house /Apartment,0,2016,4,Meath,1,12.491537249402274
292944.93,No,Yes,New Dwelling house /Apartment,0,2016,11,Dublin_13,1,12.714375576631063
230000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Clare,0,12.345838935721968
327000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Kerry,0,12.69771850797869
176500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_15,0,12.081081821061819
60000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_12,0,11.002116507732017
139000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Waterford,0,11.842236406331555
900000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Galway,0,13.48858649213279
39000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.002116507732017
205000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Galway,0,12.230770136157428
194000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_13,0,12.175618592671356
64500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Cavan,0,11.07443600653965
122850.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Cork,0,11.718727517924336
273127.75,No,Yes,New Dwelling house /Apartment,0,2016,2,Kildare,1,12.644330790165842
121000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Wexford,0,11.703554089007538
290000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_15,0,12.577639650232573
74500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Westmeath,0,11.218567827096358
25000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_15,0,11.002116507732017
385000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Kildare,0,12.861001210669146
120000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Donegal,0,11.695255355062795
31744.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.002116507732017
835000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Dublin_4,0,13.48858649213279
115000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Galway,0,11.652696102959753
185000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Donegal,0,12.128116509451258
132158.59,No,Yes,New Dwelling house /Apartment,0,2016,5,Cork,1,11.91839723738952
431718.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Dublin_15,1,13.102162568044191
132000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Cork,0,11.790564777297387
151000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Galway,0,11.92504173829169
265000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Cork,0,12.487488878546145
158000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Kerry,0,11.970356641102999
460000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Dublin_8,0,13.038983942375959
925000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_27,0,13.48858649213279
190000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Wexford,0,12.154784614286667
46000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Offaly,0,11.002116507732017
73000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Waterford,0,11.19822841866684
55000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Waterford,0,11.002116507732017
175000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Waterford,0,12.07254696717504
218000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Dublin_4,0,12.292254928916668
275000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Kerry,0,12.524530013005734
192000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Clare,0,12.165255859329688
299000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_5,0,12.608202196848836
217422.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Dublin_26,0,12.289600043841437
85500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Sligo,0,11.356283350762888
130000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_26,0,11.775297421715827
50000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Louth,0,11.002116507732017
157500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.967187086434018
215000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Kilkenny,0,12.278397958261774
275000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Cork,0,12.524530013005734
148000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Laois,0,11.904974309480183
294000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Sligo,0,12.591338447675579
250000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Cork,0,12.429220196836383
352423.0,No,Yes,New Dwelling house /Apartment,1,2016,12,Dublin_27,1,12.899222588586303
45000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Cavan,0,11.002116507732017
259911.89,No,Yes,New Dwelling house /Apartment,0,2016,6,Kildare,1,12.594734008706098
107000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Galway,0,11.580593459194764
245814.98,No,Yes,New Dwelling house /Apartment,0,2016,9,Meath,1,12.538970653270168
875000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_27,0,13.48858649213279
387664.0,No,Yes,New Dwelling house /Apartment,0,2016,12,Kildare,1,12.99452918771229
77000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Roscommon,0,11.251573687764477
265000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Kildare,0,12.487488878546145
250000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_12,0,12.429220196836383
260000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Kerry,0,12.468440756144114
175000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Galway,0,12.07254696717504
205000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Mayo,0,12.230770136157428
267500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Tipperary,0,12.496878583628968
555000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Wicklow,0,13.22672519452875
144000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Wexford,0,11.87757552297847
200000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Kerry,0,12.206077645517674
215000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_22,0,12.278397958261774
320000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Dublin_20,0,12.676079399771027
242291.0,No,Yes,New Dwelling house /Apartment,0,2016,7,Dublin_24,1,12.524531049365065
184000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Wexford,0,12.122696471358964
232500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_1,0,12.356649805075568
103000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Tipperary,0,11.542493975902508
215000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,8,Dublin_7,0,12.278397958261774
86000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Limerick,0,11.362114203075018
229000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_11,0,12.34148164933907
232000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_13,0,12.354496960983985
377800.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Galway,0,12.842122880949166
85000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Mayo,0,11.350418300109132
351500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Dublin_9,0,12.769967835179024
95000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Cork,0,11.461642696843066
140000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_26,0,11.849404844423074
78000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Westmeath,0,11.264476926102367
92000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.429554725537322
250000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_25,0,12.429220196836383
375000.0,No,No,New Dwelling house /Apartment,0,2016,5,Wicklow,0,12.834683971615659
430000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Dublin_13,0,12.971542813248437
30334.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,6,Tipperary,0,11.002116507732017
185000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_22,0,12.128116509451258
120000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Dublin_26,0,11.695255355062795
81300.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Westmeath,0,11.305913595583258
64317.0,No,Yes,New Dwelling house /Apartment,0,2016,5,Longford,1,11.198225610482186
245000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Dublin_15,0,12.409017571151187
160000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Limerick,0,11.982935344196433
172000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Galway,0,12.055255569732177
90000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Tipperary,0,11.407576060361786
135000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Limerick,0,11.813037464800539
207000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Carlow,0,12.240478903153711
65000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,2,Kildare,0,11.082157933374816
130500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Limerick,0,11.779136168550774
87000.0,No,Yes,New Dwelling house /Apartment,0,2016,6,Limerick,1,11.50030617561385
145000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,12,Wexford,0,11.884495917930655
170000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Kerry,0,12.04355959836804
152000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Clare,0,11.931642378754141
1167750.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Dublin_14,1,13.48858649213279
80000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,5,Galway,0,11.289794413577894
148000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Kerry,0,11.904974309480183
500000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Wicklow,0,13.122365377402328
130000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Dublin_7,0,11.775297421715827
120000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Louth,0,11.695255355062795
150000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Mayo,0,11.918397239722838
323348.02,No,Yes,New Dwelling house /Apartment,0,2016,10,Kildare,1,12.813119859185564
753304.0,No,Yes,New Dwelling house /Apartment,0,2016,12,Dublin_27,1,13.48858649213279
108400.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Meath,0,11.593592593037384
132000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Cork,0,11.790564777297387
90308.37,No,Yes,New Dwelling house /Apartment,0,2016,10,Cavan,1,11.53762783312277
55000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,3,Waterford,0,11.002116507732017
185000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Louth,0,12.128116509451258
1330396.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Dublin_27,1,13.48858649213279
33000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Mayo,0,11.002116507732017
227000.0,No,No,Second-Hand Dwelling house /Apartment,1,2016,12,Dublin_15,0,12.33270970174018
47000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Donegal,0,11.002116507732017
31000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Cork,0,11.002116507732017
142500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Donegal,0,11.86710429621008
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Wicklow,0,11.736077016252437
169000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Galway,0,12.037659911047468
450000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Dublin_26,0,13.017005083966255
140000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Mayo,0,11.849404844423074
25000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Cork,0,11.002116507732017
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_26,0,11.736077016252437
134945.45,No,Yes,New Dwelling house /Apartment,0,2016,12,Cork,1,11.939265081586951
112000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Donegal,0,11.626263078808801
82000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Wexford,0,11.314486721293981
86000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Limerick,0,11.362114203075018
55000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Galway,0,11.002116507732017
430000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_26,0,12.971542813248437
50000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Mayo,0,11.002116507732017
65000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Louth,0,11.082157933374816
920000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_6W,0,13.48858649213279
