Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month
2016-09-30,"28 BRACKEN COURT, DONNYBROOK, CORK",Cork,,181000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-20,"2 AN CLOCHAR, CONVENT RD, DONERAILE",Cork,,50152.49,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,12
2016-09-28,"Apartment 7 The Court, Clonattin, Gorey",Wexford,,62171.81,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9
2016-09-16,"6 Monalin, Wicklow Hills, Newtownmountkennedy",Wicklow,,223348.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9
2016-01-29,"18 Lislea, Frascati Park, Blackrock",Dublin,,310000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-10-03,"CREGAREE, KILWOGAN, CELBRIDGE",Kildare,,515000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-05-13,"60 LILYS WAY, ONGAR, DUBLIN 15",Dublin,,220000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-01-21,"15 APPLEWOOD PLACE, APPLEWOOD, SWORDS",Dublin,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-03-03,"KILMAGIG UPPER, AVOCA, WICKLOW",Wicklow,,390000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-09-12,"43 FOYLE RD, FAIRVIEW, DUBLIN 3",Dublin,,435000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-18,"25 OAKHILL, SWEETFIELD, YOUGHAL",Cork,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-09-14,"361 MALAHIDE MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,,260000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-04-08,"18 THE WILLOWS, OAKLEIGH WOOD, TULLA RD",Clare,,282500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-10-25,"THE PRESBYTERY, OLDTOWN, DUBLIN",Dublin,,390000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-02-12,"29 STOCKING WELL ROW, STOCKING AVE, RATHFARNHAM DUBLIN 16",Dublin,,220500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-03-24,"5 JAMES GATE, JAMES ST, WATERFORD",Waterford,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-11-30,"28 CARNEGIE COURT, NORTH ST, SWORDS",Dublin,,170000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-04-15,"84 NEWCOURT RD, BRAY, WICKLOW",Wicklow,,600000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-10-27,"92 GRATTAN LODGE, DONAGHMEDE, DUBLIN 13",Dublin,,357000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-09-23,"CLONMORE COURT, APT 3 OLD BALLYMUN RD, GLASNEVIN DUBLIN 9",Dublin,,250500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-05,"THE RED DOOR COTTAGE, LISTMINTON, BALINTRA",Donegal,,92500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-07-22,"SUNSET VIEW, CLASHACOLLAIRE, KILKENNY ROAD",Kilkenny,,130500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
