Date of Sale (dd/mm/yyyy),County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,area_token_reduced,vat_adjusted_flag,Price_Adjusted_VAT,Price_Adjusted_VAT_Clamped
2016-09-30,Cork,181000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,donnybrook,0,donnybrook,0,181000.0,181000.0
2016-12-20,Cork,50152.49,No,Yes,New Dwelling house /Apartment,2016,12,0,1,Unknown,1,convent rd,0,Other,1,56923.07615,60000.0
2016-09-28,Wexford,62171.81,No,Yes,New Dwelling house /Apartment,2016,9,1,1,Unknown,1,clonattin,0,Other,1,70565.00435,70565.00435
2016-09-16,Wicklow,223348.0,No,Yes,New Dwelling house /Apartment,2016,9,0,1,Unknown,1,wicklow hills,0,Other,1,253499.98,253499.98
2016-01-29,Dublin,310000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,frascati park,0,Other,0,310000.0,310000.0
2016-10-03,Kildare,515000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,kilwogan,0,Other,0,515000.0,515000.0
2016-05-13,Dublin,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Dublin 15,0,ongar,0,Other,0,220000.0,220000.0
2016-01-21,Dublin,110000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,applewood,0,Other,0,110000.0,110000.0
2016-03-03,Wicklow,390000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,0,Unknown,1,avoca,0,Other,0,390000.0,390000.0
2016-09-12,Dublin,435000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Dublin 3,0,fairview,0,Other,0,435000.0,435000.0
2016-02-18,Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Unknown,1,sweetfield,0,Other,0,110000.0,110000.0
2016-09-14,Dublin,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,malahide,0,malahide,0,260000.0,260000.0
2016-04-08,Clare,282500.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,oakleigh wood,0,Other,0,282500.0,282500.0
2016-10-25,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,oldtown,0,Other,0,390000.0,390000.0
2016-02-12,Dublin,220500.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Dublin 16,0,stocking ave,0,Other,0,220500.0,220500.0
2016-03-24,Waterford,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,1,Unknown,1,james st,0,Other,0,50000.0,60000.0
2016-11-30,Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,north st,0,Other,0,170000.0,170000.0
2016-04-15,Wicklow,600000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,bray,0,bray,0,600000.0,600000.0
2016-10-27,Dublin,357000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Dublin 13,0,donaghmede,0,Other,0,357000.0,357000.0
2016-09-23,Dublin,250500.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,1,1,Dublin 9,0,apt 3 old ballymun rd,0,Other,0,250500.0,250500.0
2016-02-05,Donegal,92500.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,0,Unknown,1,listminton,0,Other,0,92500.0,92500.0
2016-07-22,Kilkenny,130500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,0,Unknown,1,clashacollaire,0,Other,0,130500.0,130500.0
2016-05-27,Dublin,259912.0,No,Yes,New Dwelling house /Apartment,2016,5,0,1,Unknown,1,5 fforster terrace,0,Other,1,295000.12,295000.12
2016-06-22,Dublin,259911.89,No,Yes,New Dwelling house /Apartment,2016,6,0,1,Unknown,1,bracken park,0,Other,1,294999.99515000003,294999.99515000003
2016-02-04,Waterford,30000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,1,1,Unknown,1,2 baileys new st,0,Other,0,30000.0,60000.0
